"AssetId","Holder","File","Line","Snippet"
"113224946425402","Ultra Crown","src/shared/ItemCatalog_unix.luau","958","crown_ultra = { id = ""crown_ultra"", name = ""Ultra Crown"", type = ""ExclusiveCrown"", rarity = ""Legendary"", image = ""rbxassetid://113224946425402"", iconText = """", iconColor = Color3.fromRGB(218, 48, 255), thumbnailBgColor = Color3.fromRGB(28, 15, 42), robux = 299, tag = ""EXCLUSIVE"", modelPath = ""ItemModels.Crowns.Exclusive.Ultra Crown"" },"
"113701401947593","SidebarButton:Index","src/client/UI/HUDPanel.luau","493","Components.CreateSideButton(sidebar, ""Index"", """", C.SideIndex, 4, function() if callbacks.onIndex then callbacks.onIndex() end end, ""rbxassetid://113701401947593"")"
"114706280708394","SUSPICIOUS_TEXT_PATTERNS[]","src/server/00_SecuritySanitizer.server.luau","42","""rbxassetid://114706280708394"","
"115903577500727","pet_penguin","src/shared/SpinWheelConfig.luau","125","wheelImage = ""rbxassetid://115903577500727"","
"116615586913751","Flights Laugh","src/shared/ItemCatalog.luau","1735","image = ""rbxassetid://116615586913751"","
"121220698644847","SidebarButton:Settings","src/client/UI/HUDPanel.luau","495","Components.CreateSideButton(sidebar, ""Settings"", """", C.SideSettings, 6, function() if callbacks.onSettings then callbacks.onSettings() end end, ""rbxassetid://121220698644847"")"
"121758348091203","Fire Circle Crown","src/shared/ItemCatalog.luau","1393","image = ""rbxassetid://121758348091203"","
"121758348091203","Fire Circle Crown","src/shared/ItemCatalog.luau","1651","crown_fire_circle = { id = ""crown_fire_circle"", name = ""Fire Circle Crown"", type = ""ExclusiveCrown"", rarity = ""Legendary"", image = ""rbxassetid://121758348091203"", iconText = """", iconColor = Color3.fromRGB(255, 90, 30), thumbnailBgColor = Color3.fromRGB(38, 15, 5), robux = 450, gamepassId = 1728155288, tag = ""NEW"", modelPath = ""ItemModels.Crowns.Exclusive.Fire Circle Crown"" },"
"122813471318576","Red Beam Crown","src/shared/ItemCatalog.luau","1237","image = ""rbxassetid://122813471318576"","
"122813471318576","Red Beam Crown","src/shared/ItemCatalog_unix.luau","736","image = ""rbxassetid://122813471318576"","
